rest_name,rating,user_id,user_name
Brewklyn Microbrewery Bangalore,Rated 5.0,1826583,Reedhika Puliani
Brewklyn Microbrewery Bangalore,Rated 5.0,31021666,Nikhil Singla
Brewklyn Microbrewery Bangalore,Rated 5.0,3048280,Alexandrina Namrata
Brewklyn Microbrewery Bangalore,Rated 4.0,36088032,Abhishek Sharma
Brewklyn Microbrewery Bangalore,Rated 4.0,407847,Nitin Hajela (TheFoodieTales.com)
Brewklyn Microbrewery Bangalore,Rated 4.0,33951336,Sourav Guru
Brewklyn Microbrewery Bangalore,Rated 4.0,563150,Sakhi Ravoor Diaries
Brewklyn Microbrewery Bangalore,Rated 4.0,210025,Rohit Dassani (www.RohitDassani.com)
Brewklyn Microbrewery Bangalore,Rated 4.0,30142101,The Food Punch
Brewklyn Microbrewery Bangalore,Rated 4.0,485465,Sun Ray
Brewklyn Microbrewery Bangalore,Rated 4.0,29129333,Arijit Choudhury
Brewklyn Microbrewery Bangalore,Rated 5.0,35303918,Suman Dahal
Brewklyn Microbrewery Bangalore,Rated 4.0,61362383,Medha Patel
Brewklyn Microbrewery Bangalore,Rated 5.0,29539748,Anuj Kurade
Brewklyn Microbrewery Bangalore,Rated 4.0,485465,Sun Ray
Brewklyn Microbrewery Bangalore,Rated 4.0,29129333,Arijit Choudhury
Brewklyn Microbrewery Bangalore,Rated 5.0,35303918,Suman Dahal
Brewklyn Microbrewery Bangalore,Rated 4.0,61362383,Medha Patel
Brewklyn Microbrewery Bangalore,Rated 5.0,29539748,Anuj Kurade
Brewklyn Microbrewery Bangalore,Rated 4.0,40252273,J O
Brewklyn Microbrewery Bangalore,Rated 4.0,12684651,Aashish Arora
Brewklyn Microbrewery Bangalore,Rated 3.0,16432351,Chiranjeevi
Brewklyn Microbrewery Bangalore,Rated 4.0,1513432,Mrunal Shanbhag
Brewklyn Microbrewery Bangalore,Rated 4.0,30428579,Tanmay Chatterjee
Brewklyn Microbrewery Bangalore,Rated 5.0,2571118,Virag Pant
Brewklyn Microbrewery Bangalore,Rated 3.0,30075188,Hungry.vegetarian (Daksh)
Brewklyn Microbrewery Bangalore,Rated 4.0,36197876,Jayati Srivastava
Brewklyn Microbrewery Bangalore,Rated 5.0,63038861,Richard
Brewklyn Microbrewery Bangalore,Rated 5.0,1006559,Tushar
Brewklyn Microbrewery Bangalore,Rated 5.0,2571118,Virag Pant
Brewklyn Microbrewery Bangalore,Rated 3.0,30075188,Hungry.vegetarian (Daksh)
Brewklyn Microbrewery Bangalore,Rated 4.0,36197876,Jayati Srivastava
Brewklyn Microbrewery Bangalore,Rated 5.0,63038861,Richard
Brewklyn Microbrewery Bangalore,Rated 5.0,1006559,Tushar
Brewklyn Microbrewery Bangalore,Rated 5.0,31296869,Kevin Garnet
